code_paiement;date_paiement;filiale;fournisseur;montant;type_paiement;statut;banque;numero_compte;beneficiaire;reference;notes
;11/04/2024;AFRICAN FRET & SERVICE;M. MAMBENDA / TRANSITAIRE;4.000.000,00;Chèque;Validé;BGFI AFS;;M. MAMBENDA / TRANSITAIRE;;RETRAIT CH     167 MR MAMBEND
;04/06/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;20.365.351,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT PARTIEL SUR 1 ER LOYER AVRIL
;13/08/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;24.454.180,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT REGULARISATION SUR LOYER IMPAYE DU 30/07/2024 + PENALIT2 DE RETARD
;13/08/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;64.149.908,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT REGULARISATION SUR LOYER IMPAYE DU 30/07/2024 + PENALITE DE RETARD (354 278)
;13/08/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;14.158.977,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT REGULARISATION SUR LOYER IMPAYE DU 30/07/2024 + PENALITE DE RETARD (78 195)
;13/08/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;12.306.678,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT REGULARISATION SUR LOYER IMPAYE DU 30/07/2024 + PENALITE DE RETARD (67 966)
;14/10/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;207.900.000,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT PRELEVEMENT DIVERS LOYERS CB IMPAYES
;12/11/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;73.350.390,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT PRELEV LOYER IMPAY DU 05/10/2024 +PENALITE DE RETARD
;12/11/2024;JETA ENGINEERING SA;CREDIT BAIL AFG;72.472.689,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;VIREMENT PRELEV LOYER IMPAY DU 05/11/2024 +PENALITE DE RETARD
;26/05/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;15.658.446,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGULARISATION SUR DIVERS LOYERS IMPAYES NOVEMBRE-DECEMBRE 2024 - JANVIER A AVRIL 2025
;10/07/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;2.272.537,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGULARISATION SUR LOYER IMPAYE DU 30/06/2025
;10/07/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;72.000.000,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGULARISATION SUR LOYER IMPAYE DU 05/06/2025
;11/08/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;60.000.000,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000205
;11/08/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;60.000.000,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000204
;11/08/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;60.000.000,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000206
;11/08/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;60.000.000,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000207
;11/08/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;60.000.000,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000208
;11/08/2025;JETA ENGINEERING SA;COLAS GABON;100.000.000,00;Virement;Validé;AFG JE;;COLAS GABON;;TRANSFERT COMPTE A COMPTE O/ JETA ENGINEERING F/ COLAS GABON - RGT FACTS O/ JETA ENGINEERINGF/ COLAS GABON: RGT FACTS
;12/08/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;28.302.965,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;PRELEVEMENT PRELEVEMENT PARTIEL SUR LOYER IMPAYE DU 05/07/2025
;12/08/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;2.272.537,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGULARISATION SUR LOYER IMPAYE DU 30/07/2025
;29/08/2025;JETA ENGINEERING SA;MATELEC;11.031.300,00;Chèque;Validé;AFG JE;;MATELEC;;REMISE DE CHEQUE INTRA Num cheq: 0000321
;29/08/2025;JETA ENGINEERING SA;PRO CONSULTING SERVICES;7.520.920,00;Chèque;Validé;AFG JE;;PRO CONSULTING SERVICES;;CHEQUE RECUS Num cheq: 0000202
;05/09/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;63.065.537,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;DEBIT DIVERS PAIEMENT CHQ 0000322
;05/09/2025;JETA ENGINEERING SA;LV EQUIPEMENT SERVICE;63.065.538,00;Chèque;Validé;AFG JE;;LV EQUIPEMENT SERVICE;;CHEQUE NUMERO Num cheq: 0000323
;31/10/2025;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;31/10/2025;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;EFFETS A L'ENCAISSEMENT- REGLEMENT
;03/11/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;2.272.537,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGUARISATION SUR LOYER IMAPYE DU 30/09/2025
;03/11/2025;JETA ENGINEERING SA;CREDIT BAIL AFG;44.000.000,00;Opération bancaire;Validé;AFG JE;;CREDIT BAIL AFG;;REGULARISATION REGUARISATION SUR LOYER IMAPYE DU 05/09/2025
;07/01/2026;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;VIREMENT  EFFET JETA ENGINEERING / DE SOGEM TP ECHEANCE DU 31/12/2025
;16/01/2026;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;VIREMENT  REGL.EFFETTIRE JETA ENGINEERING EN FAVEUR DE SOGEM TPp ECHEANCE DU 30/11/2025
;28/01/2026;JETA ENGINEERING SA;BERNABE GABON SA;926.617,00;Cash;Validé;CASH JETA ENGINEERING;;BERNABE GABON SA;;ACHAT MATERIEL POUR LES TRAVAUX DE CONSTRUCTION DE L'UNIVERSITE DE MOUILA(chalumeau/ cle a molette/cle serre tubes/antiretour/tuyau jumelle ) MME CENDHY
;28/01/2026;JETA ENGINEERING SA;FOBERD GABON;358.000,00;Cash;Validé;CASH JETA ENGINEERING;;FOBERD GABON;;ACHAT DE MATERIELS POUR LES TRAVAUX DE CONSTRUCTION DE L'UNIVERSITE DE MOUILA ( culotte 125 /culotte 160 /culotte 100) MME CENDHY
;30/01/2026;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;DEBIT DIVERS  PAIEMENT EFFET SOGEM  TP ECHEANCE AU 31/01/26 001EABG260280504
;02/02/2026;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;EFFETS A L'ENCAISSEMENT-REGLEMENT
